#,Nombre,Nicho,Pais,Donde_lo_vi (LinkedIn/IG/Podcast/Referido),Perfil_URL,Tiene_metodo (Si/No/?),Tiene_clientes (Si/No/?),Senal_de_techo (lista espera/muy ocupado/?),Encaje_1a5,Estado (Sin contactar/Interactuando/Contactado/Respondio/Llamada/Propuesta/Cliente/Descartado),Fecha_ultimo_contacto,Notas
1,,coaching de negocios,,,,?,?,?,,Sin contactar,,
2,,mentor de emprendedores,,,,?,?,?,,Sin contactar,,
3,,formador de ventas,,,,?,?,?,,Sin contactar,,
4,,coach de liderazgo,,,,?,?,?,,Sin contactar,,
5,,consultor PyME,,,,?,?,?,,Sin contactar,,
6,,,,,,?,?,?,,Sin contactar,,
7,,,,,,?,?,?,,Sin contactar,,
8,,,,,,?,?,?,,Sin contactar,,
9,,,,,,?,?,?,,Sin contactar,,
10,,,,,,?,?,?,,Sin contactar,,
11,,,,,,?,?,?,,Sin contactar,,
12,,,,,,?,?,?,,Sin contactar,,
13,,,,,,?,?,?,,Sin contactar,,
14,,,,,,?,?,?,,Sin contactar,,
15,,,,,,?,?,?,,Sin contactar,,
16,,,,,,?,?,?,,Sin contactar,,
17,,,,,,?,?,?,,Sin contactar,,
18,,,,,,?,?,?,,Sin contactar,,
19,,,,,,?,?,?,,Sin contactar,,
20,,,,,,?,?,?,,Sin contactar,,
21,,,,,,?,?,?,,Sin contactar,,
22,,,,,,?,?,?,,Sin contactar,,
23,,,,,,?,?,?,,Sin contactar,,
24,,,,,,?,?,?,,Sin contactar,,
25,,,,,,?,?,?,,Sin contactar,,
26,,,,,,?,?,?,,Sin contactar,,
27,,,,,,?,?,?,,Sin contactar,,
28,,,,,,?,?,?,,Sin contactar,,
29,,,,,,?,?,?,,Sin contactar,,
30,,,,,,?,?,?,,Sin contactar,,
31,,,,,,?,?,?,,Sin contactar,,
32,,,,,,?,?,?,,Sin contactar,,
33,,,,,,?,?,?,,Sin contactar,,
34,,,,,,?,?,?,,Sin contactar,,
35,,,,,,?,?,?,,Sin contactar,,
36,,,,,,?,?,?,,Sin contactar,,
37,,,,,,?,?,?,,Sin contactar,,
38,,,,,,?,?,?,,Sin contactar,,
39,,,,,,?,?,?,,Sin contactar,,
40,,,,,,?,?,?,,Sin contactar,,
41,,,,,,?,?,?,,Sin contactar,,
42,,,,,,?,?,?,,Sin contactar,,
43,,,,,,?,?,?,,Sin contactar,,
44,,,,,,?,?,?,,Sin contactar,,
45,,,,,,?,?,?,,Sin contactar,,
46,,,,,,?,?,?,,Sin contactar,,
47,,,,,,?,?,?,,Sin contactar,,
48,,,,,,?,?,?,,Sin contactar,,
49,,,,,,?,?,?,,Sin contactar,,
50,,,,,,?,?,?,,Sin contactar,,
